timestep,reward
23,-0.2575
75555,-0.074
147922,-0.002
219320,-0.0135
290134,0.0055
361644,0.0315
433254,0.1045
505226,0.084
577495,0.05
649624,0.052
721876,0.044
794099,0.0845
865846,0.0915
937729,0.0795
1009916,0.1235
1082816,0.121
1155751,0.1175
1227983,0.0955
1300689,0.0345
1373483,0.072
1445513,0.0695
1517303,0.0985
1589423,0.134
1661758,0.1315
1734682,0.129
1807411,0.0865
1879851,0.104
1952561,0.066
2024698,0.1255
2096914,0.095
2169450,0.1295
2242137,0.1615
2314841,0.1315
2387628,0.1865
2460642,0.173
2533401,0.1265
2606359,0.143
2679347,0.18
2752055,0.0855
2824754,0.151
2897643,0.156
2970729,0.2015
3043524,0.1535
3116462,0.14
3189348,0.167
3262286,0.1365
3335031,0.101
3407116,0.15
3479909,0.1315
3552552,0.16
